room,date,area,event_min,max_min,year,month,day
A,12/29/09 0:00,988,0,1080,2009,December,29
A,12/30/09 0:00,988,0,1080,2009,December,30
A,12/31/09 0:00,988,0,1080,2009,December,31
A,1/1/10 0:00,988,0,1080,2010,January,1
A,1/2/10 0:00,988,0,1080,2010,January,2
A,1/3/10 0:00,988,0,1080,2010,January,3
A,1/4/10 0:00,988,0,1080,2010,January,4
A,1/5/10 0:00,988,0,1080,2010,January,5
A,1/6/10 0:00,988,0,1080,2010,January,6
A,1/7/10 0:00,988,480,1080,2010,January,7
A,1/8/10 0:00,988,0,1080,2010,January,8
A,1/9/10 0:00,988,0,1080,2010,January,9
A,1/10/10 0:00,988,0,1080,2010,January,10
A,1/11/10 0:00,988,1230,1080,2010,January,11
A,1/12/10 0:00,988,1065,1080,2010,January,12
A,1/13/10 0:00,988,960,1080,2010,January,13
A,1/14/10 0:00,988,945,1080,2010,January,14
A,1/15/10 0:00,988,0,1080,2010,January,15
A,1/16/10 0:00,988,0,1080,2010,January,16
A,1/17/10 0:00,988,869,1080,2010,January,17
A,1/18/10 0:00,988,960,1080,2010,January,18
A,1/19/10 0:00,988,150,1080,2010,January,19
A,1/20/10 0:00,988,195,1080,2010,January,20
A,1/21/10 0:00,988,120,1080,2010,January,21
A,1/22/10 0:00,988,0,1080,2010,January,22
A,1/23/10 0:00,988,345,1080,2010,January,23
A,1/24/10 0:00,988,0,1080,2010,January,24
A,1/25/10 0:00,988,0,1080,2010,January,25
A,1/26/10 0:00,988,1379,1080,2010,January,26
A,1/27/10 0:00,988,290,1080,2010,January,27
A,1/28/10 0:00,988,140,1080,2010,January,28
A,1/29/10 0:00,988,120,1080,2010,January,29
A,1/30/10 0:00,988,0,1080,2010,January,30
A,1/31/10 0:00,988,60,1080,2010,January,31
A,2/1/10 0:00,988,435,1080,2010,February,1
A,2/2/10 0:00,988,180,1080,2010,February,2
A,2/3/10 0:00,988,120,1080,2010,February,3
A,2/4/10 0:00,988,690,1080,2010,February,4
A,2/5/10 0:00,988,390,1080,2010,February,5
A,2/6/10 0:00,988,0,1080,2010,February,6
A,2/7/10 0:00,988,659,1080,2010,February,7
A,2/8/10 0:00,988,630,1080,2010,February,8
A,2/9/10 0:00,988,810,1080,2010,February,9
A,2/10/10 0:00,988,630,1080,2010,February,10
A,2/11/10 0:00,988,840,1080,2010,February,11
A,2/12/10 0:00,988,600,1080,2010,February,12
A,2/13/10 0:00,988,0,1080,2010,February,13
A,2/14/10 0:00,988,0,1080,2010,February,14
A,2/15/10 0:00,988,0,1080,2010,February,15
A,2/16/10 0:00,988,0,1080,2010,February,16
A,2/17/10 0:00,988,420,1080,2010,February,17
A,2/18/10 0:00,988,0,1080,2010,February,18
A,2/19/10 0:00,988,0,1080,2010,February,19
A,2/20/10 0:00,988,270,1080,2010,February,20
A,2/21/10 0:00,988,330,1080,2010,February,21
A,2/22/10 0:00,988,600,1080,2010,February,22
A,2/23/10 0:00,988,75,1080,2010,February,23
A,2/24/10 0:00,988,255,1080,2010,February,24
A,2/25/10 0:00,988,300,1080,2010,February,25
A,2/26/10 0:00,988,90,1080,2010,February,26
A,2/27/10 0:00,988,90,1080,2010,February,27
A,2/28/10 0:00,988,150,1080,2010,February,28
A,3/1/10 0:00,988,0,1080,2010,March,1
A,3/2/10 0:00,988,0,1080,2010,March,2
A,3/3/10 0:00,988,0,1080,2010,March,3
A,3/4/10 0:00,988,0,1080,2010,March,4
A,3/5/10 0:00,988,0,1080,2010,March,5
A,3/6/10 0:00,988,1438,1080,2010,March,6
A,3/7/10 0:00,988,180,1080,2010,March,7
A,3/8/10 0:00,988,90,1080,2010,March,8
A,3/9/10 0:00,988,75,1080,2010,March,9
A,3/10/10 0:00,988,300,1080,2010,March,10
A,3/11/10 0:00,988,420,1080,2010,March,11
A,3/12/10 0:00,988,420,1080,2010,March,12
A,3/13/10 0:00,988,0,1080,2010,March,13
A,3/14/10 0:00,988,0,1080,2010,March,14
A,3/15/10 0:00,988,0,1080,2010,March,15
A,3/16/10 0:00,988,0,1080,2010,March,16
A,3/17/10 0:00,988,240,1080,2010,March,17
A,3/18/10 0:00,988,780,1080,2010,March,18
A,3/19/10 0:00,988,60,1080,2010,March,19
A,3/20/10 0:00,988,0,1080,2010,March,20
A,3/21/10 0:00,988,0,1080,2010,March,21
A,3/22/10 0:00,988,0,1080,2010,March,22
A,3/23/10 0:00,988,1170,1080,2010,March,23
A,3/24/10 0:00,988,0,1080,2010,March,24
A,3/25/10 0:00,988,0,1080,2010,March,25
A,3/26/10 0:00,988,0,1080,2010,March,26
A,3/27/10 0:00,988,0,1080,2010,March,27
A,3/28/10 0:00,988,0,1080,2010,March,28
A,3/29/10 0:00,988,929,1080,2010,March,29
A,3/30/10 0:00,988,690,1080,2010,March,30
A,3/31/10 0:00,988,0,1080,2010,March,31
A,4/1/10 0:00,988,720,1080,2010,April,1
A,4/2/10 0:00,988,0,1080,2010,April,2
A,4/3/10 0:00,988,0,1080,2010,April,3
A,4/4/10 0:00,988,0,1080,2010,April,4
A,4/5/10 0:00,988,0,1080,2010,April,5
A,4/6/10 0:00,988,0,1080,2010,April,6
A,4/7/10 0:00,988,0,1080,2010,April,7
